Group,Event,Morlab,Carbonaceous,Mineral,Fe-rich,N-rich,Transition metal,B-rich,Barite,Ca-rich,Calcium Sulfate,Cl-rich,Flourine compound,Fly ash,Quartz,Rare earth metal,S-rich,sulfate
UT,Event,Spherical,15,5,2.33,-,-,-,-,1.33,0.33,-,-,-,-,-,-,-
UT,Event,Cluster,14.33,0.33,0.67,0.33,-,-,-,-,-,-,-,0.33,-,-,-,0.33
UT,Event,Chainlike,2.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UT,Event,Irregular,43.33,1.67,4.33,4.67,1.67,-,-,-,-,0.33,0.33,-,-,-,0.67,-
UT,Non-event,Spherical,1.33,9.33,2.67,0.67,-,-,-,-,-,-,-,3.33,-,-,-,-
UT,Non-event,Cluster,17.33,2,-,1.33,-,-,-,-,-,-,-,-,-,-,0.67,0.67
UT,Non-event,Chainlike,4,-,-,0.67,-,-,-,-,-,-,-,-,-,-,-,-
UT,Non-event,Irregular,15.33,24.67,2,2,3.33,0.67,-,-,4,1.33,2,0.67,-,-,-,-
BJ,Event,Spherical,0.4,3.2,4.8,2.4,-,-,0.8,-,-,-,-,1.6,-,0.4,-,-
BJ,Event,Cluster,2,4,0.4,-,2,-,0.4,-,-,-,0.8,-,-,-,-,-
BJ,Event,Chainlike,-,-,-,-,-,-,-,-,-,-,-,0.8,-,-,-,-
BJ,Event,Irregular,4.8,34.8,12,8.8,9.2,-,0.4,0.8,1.2,-,0.8,1.2,-,0.8,0.4,0.8
BJ,Non-event,Spherical,6,6,-,-,-,-,-,-,-,-,2,-,-,-,-,-
BJ,Non-event,Cluster,4,8,-,-,-,-,-,-,4,-,2,-,-,-,-,2
BJ,Non-event,Irregular,6,50,-,-,-,-,-,-,8,-,2,-,-,-,-,-
SS,Event,Spherical,2.4,3.2,8.8,2.4,2.8,-,-,-,-,-,-,2.8,-,-,-,-
SS,Event,Cluster,7.2,0.8,0.8,6,1.6,-,-,-,-,-,-,1.2,-,-,0.4,-
SS,Event,Chainlike,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SS,Event,Irregular,10,8.4,7.6,20.4,7.6,-,-,-,0.4,-,0.4,2,-,2,-,0.4
SS,Non-event,Spherical,4,12,-,-,-,-,-,-,-,-,-,-,-,-,2,-
SS,Non-event,Cluster,20,4,-,2,-,-,-,-,2,-,-,-,-,-,-,-
SS,Non-event,Irregular,10,16,2,16,2,-,-,-,4,-,-,-,-,-,4,-
SE,Event,Spherical,2.8,2,5.2,3.2,4.8,-,-,-,-,-,-,0.8,-,-,-,-
SE,Event,Cluster,5.2,0.4,2,6,0.4,-,-,-,-,-,0.4,0.4,-,-,-,-
SE,Event,Chainlike,0.8,0.8,-,0.4,-,-,-,-,-,-,-,-,-,-,0.4,-
SE,Event,Irregular,10,6.4,10.4,21.2,13.6,-,-,0.4,0.8,-,-,0.4,-,0.4,0.4,-
SE,Non-event,Spherical,12,16,-,-,-,-,-,-,2,-,-,2,-,-,-,-
SE,Non-event,Cluster,28,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
SE,Non-event,Chainlike,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SE,Non-event,Irregular,20,8,-,-,2,-,-,-,-,-,-,-,4,-,-,-
NT,Event,Spherical,0.4,4.8,4,0.8,0.8,-,-,-,-,-,-,1.2,-,-,-,-
NT,Event,Cluster,1.6,8.8,3.2,8.4,2.8,-,-,-,4.4,-,-,-,-,-,0.4,-
NT,Event,Chainlike,0.4,-,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-
NT,Event,Irregular,1.6,27.6,3.6,6.8,13.6,-,-,0.8,2.4,-,-,0.4,-,-,0.4,-
NT,Non-event,Spherical,-,10,-,4,-,-,-,-,-,-,-,-,-,-,-,-
NT,Non-event,Cluster,4,6,-,10,-,-,-,4,-,-,-,-,-,-,-,-
NT,Non-event,Irregular,6,26,2,14,8,-,-,2,2,-,-,-,-,-,-,2
