Group,Event,Morlab,Carbonaceous,Mineral,Fe-rich,N-rich,Transition metal,Ca-rich,Calcium Sulfate,Cl-rich,Flourine compound,Fly ash,Rare earth metal,S-rich,NA
UT,Event,Spherical,0.67,14.67,3.33,-,-,-,-,-,-,1.33,-,0.67,-
UT,Event,Cluster,6,22,1.33,2.67,0.67,2.67,0.67,-,-,-,-,-,-
UT,Event,Chainlike,2.67,1.33,-,-,-,-,-,-,-,-,-,-,-
UT,Event,Irregular,3.33,23.33,3.33,0.67,4.67,-,0.67,-,0.67,1.33,0.67,-,0.67
UT,Non-event,Spherical,1,14,3,-,-,-,-,-,1,3,-,-,-
UT,Non-event,Cluster,8,10,2,10,1,-,2,-,5,-,-,-,-
UT,Non-event,Chainlike,1,-,-,-,-,-,-,-,-,-,-,-,-
UT,Non-event,Irregular,-,21,2,2,2,2,3,-,7,-,-,-,-
BJ,Event,Spherical,0.5,1,10,2,1,-,-,-,-,-,-,-,-
BJ,Event,Cluster,12,4.5,2,5.5,-,-,1.5,-,-,2,-,-,2
BJ,Event,Chainlike,2,-,-,2,-,-,-,-,-,-,-,-,-
BJ,Event,Irregular,0.5,17,16.5,10,3,-,3,-,0.5,1,-,-,0.5
BJ,Non-event,Spherical,-,1,5,1,-,-,-,-,-,-,-,-,-
BJ,Non-event,Cluster,9,9,2,12,1,-,-,-,-,-,-,-,-
BJ,Non-event,Chainlike,1,1,-,12,-,-,1,-,-,-,-,-,-
BJ,Non-event,Irregular,1,17,12,11,2,-,1,-,-,-,-,-,1
SS,Event,Spherical,-,0.67,8.67,1.33,0.67,-,-,-,-,2,-,-,-
SS,Event,Cluster,21.33,2.67,0.67,18.67,-,-,0.67,-,-,1.33,-,-,-
SS,Event,Chainlike,0.67,-,-,1.33,-,-,0.67,-,-,-,-,-,-
SS,Event,Irregular,2,7.33,5.33,12,9.33,-,0.67,0.67,-,1.33,-,-,-
SS,Non-event,Spherical,-,1,1,1,5,-,-,-,-,1,-,-,-
SS,Non-event,Cluster,8,7,2,18,-,-,6,-,1,-,-,-,1
SS,Non-event,Chainlike,2,-,-,6,-,-,-,-,-,-,-,-,-
SS,Non-event,Irregular,3,6,3,15,6,-,5,-,-,-,-,-,2
SE,Event,Spherical,0.5,3.5,8,1,0.5,-,-,-,-,1,-,-,-
SE,Event,Cluster,9,2,2.5,23,0.5,-,0.5,-,-,-,-,1,-
SE,Event,Chainlike,1,-,-,1,-,-,-,-,-,-,-,-,-
SE,Event,Irregular,1.5,10.5,10,14,5,-,2.5,-,-,0.5,-,-,1
SE,Non-event,Spherical,-,-,2,1,-,-,-,-,-,1,-,-,-
SE,Non-event,Cluster,15,5,3,22,2,1,2,-,-,-,-,-,-
SE,Non-event,Chainlike,1,-,-,6,-,-,-,-,-,-,-,-,-
SE,Non-event,Irregular,1,11,5,17,3,1,-,-,-,-,-,1,-
NT,Event,Spherical,-,1.33,5.33,0.67,-,-,-,-,-,-,-,-,-
NT,Event,Cluster,9.33,2,1.33,12.67,0.67,-,-,-,-,-,-,-,-
NT,Event,Chainlike,1.33,-,-,0.67,-,-,-,-,-,-,-,-,-
NT,Event,Irregular,0.67,18,7.33,18,15.33,0.67,1.33,0.67,-,2,-,0.67,-
NT,Non-event,Spherical,-,-,-,-,-,-,-,-,-,1,-,-,-
NT,Non-event,Cluster,4,3,-,13,1,-,1,-,-,-,-,-,-
NT,Non-event,Chainlike,-,-,-,3,-,-,-,-,-,-,-,-,-
NT,Non-event,Irregular,4,34,3,18,8,6,1,-,-,-,-,-,-
